Wavelength,Toluene,EtOH,DMF,ACN,MeOH,Hexanes,Acetone
800,0.02598533,0.023606549,0.026093788,0.025178299,0.019490163,0.029145616,0.024944759
799,0.02549442,0.023858158,0.026380042,0.024818799,0.019777975,0.028621067,0.025418882
798,0.025416302,0.023884358,0.025900941,0.024831901,0.019484504,0.028846745,0.025041933
797,0.025582739,0.023687568,0.026214701,0.024245192,0.019647275,0.028766112,0.024857886
796,0.025401673,0.023365274,0.026019299,0.024720716,0.019921695,0.028826053,0.024569893
795,0.025469221,0.022932055,0.025983901,0.024487093,0.019303202,0.028437541,0.024662874
794,0.025100265,0.02338161,0.026182999,0.024787993,0.019406512,0.028994079,0.024892041
793,0.025103446,0.023542433,0.026197241,0.024527053,0.019745493,0.028471261,0.024321951
792,0.025580598,0.023564214,0.025914322,0.025016486,0.019912698,0.028583908,0.024656243
791,0.025357873,0.023903585,0.026128618,0.024817429,0.020170283,0.02905823,0.024796462
790,0.025389103,0.023853645,0.026538787,0.025111016,0.019956711,0.029083417,0.024939276
789,0.025091982,0.023050835,0.026293899,0.02555921,0.019781822,0.02863597,0.024778538
788,0.025440235,0.02369145,0.026235379,0.02506656,0.018983712,0.029006117,0.025233714
787,0.025512703,0.024112567,0.026665384,0.02534621,0.019567412,0.028387603,0.025226444
786,0.025429009,0.023763025,0.02669726,0.025505181,0.01985785,0.029447048,0.025261753
785,0.025512538,0.023618165,0.02683891,0.025682144,0.019620138,0.029018792,0.025044648
784,0.025057427,0.023834202,0.026932047,0.025737732,0.019858121,0.029239942,0.025311854
783,0.025399148,0.024124826,0.026557334,0.025782669,0.019966875,0.028475738,0.025078818
782,0.025515393,0.022986719,0.026955899,0.02591718,0.019705781,0.028924736,0.025151665
781,0.025581559,0.024002496,0.0269402,0.025768276,0.020226987,0.028540587,0.025056742
780,0.025500926,0.023968192,0.026706206,0.025929957,0.020341205,0.028966213,0.024933409
779,0.025885142,0.024141656,0.027079891,0.025966011,0.020552361,0.028709692,0.024832888
778,0.025570274,0.023967809,0.026764817,0.02603186,0.020444816,0.028568398,0.024893165
777,0.025713645,0.024100226,0.026980441,0.026160426,0.020570219,0.028872473,0.025185623
776,0.025590839,0.023490731,0.027266399,0.026046894,0.020448507,0.028488647,0.025300577
775,0.025733502,0.024117903,0.027503342,0.025801706,0.020444789,0.029156966,0.025117599
774,0.025708234,0.023662802,0.027394477,0.026024604,0.020614164,0.028862154,0.025268968
773,0.025746769,0.023549319,0.027559385,0.026093815,0.020657895,0.028637215,0.025158906
772,0.025807255,0.023805325,0.02779635,0.026448458,0.020791507,0.028600275,0.025550397
771,0.026173706,0.024069553,0.027400046,0.025751548,0.02073443,0.028087485,0.025522586
770,0.025991074,0.023739156,0.027040522,0.026332045,0.020365268,0.02785624,0.025637052
769,0.025818354,0.023760482,0.027721956,0.026368902,0.020589843,0.028282384,0.025673877
768,0.025890225,0.02393266,0.027540657,0.026637447,0.020405393,0.027777944,0.025572745
767,0.026370415,0.023885753,0.027099894,0.026539723,0.020062128,0.027581975,0.025559566
766,0.026323409,0.024004685,0.027461094,0.026812394,0.020423761,0.0272414,0.025834397
765,0.026087493,0.023620707,0.02730419,0.026180882,0.020028405,0.026602879,0.025201123
764,0.025379169,0.023565853,0.026923509,0.025522751,0.019447307,0.025719934,0.024868302
763,0.025717682,0.023515761,0.02670538,0.026013033,0.019167343,0.025633839,0.024961319
762,0.025578621,0.023770763,0.026993498,0.026298876,0.019222996,0.025645592,0.02526809
761,0.025695024,0.023938267,0.027035205,0.026457977,0.019259688,0.025526539,0.025279834
760,0.0257229,0.02377738,0.02673412,0.026403121,0.019400692,0.025591663,0.025564234
759,0.025662371,0.024085259,0.026795928,0.026222648,0.018914515,0.025741028,0.025575326
758,0.025486267,0.023783887,0.026419379,0.026048791,0.018920518,0.02549453,0.025200739
757,0.025183045,0.023665535,0.026321181,0.025953699,0.018626086,0.025027839,0.025107259
756,0.024892123,0.023554348,0.026303194,0.026250338,0.018649918,0.025543203,0.024765439
755,0.024674902,0.023717394,0.026504392,0.026322226,0.018126632,0.025211986,0.025147962
754,0.02487584,0.023788126,0.026172881,0.026354159,0.018387994,0.025430244,0.02459778
753,0.024790131,0.023602695,0.026017458,0.025812502,0.018261518,0.025177915,0.024732115
752,0.024712468,0.023795262,0.026217066,0.026105883,0.018467802,0.024846072,0.024644051
751,0.025050352,0.023672889,0.026273548,0.026143628,0.018653836,0.024971134,0.024916795
750,0.024921154,0.023621554,0.026431346,0.026623328,0.018750721,0.024980923,0.02473365
749,0.024696438,0.023511826,0.026788825,0.026218303,0.018797401,0.024391357,0.024582138
748,0.02482165,0.023739649,0.026775224,0.026101018,0.019338574,0.024759464,0.024297887
747,0.024994852,0.023849735,0.0267222,0.026377842,0.019360253,0.024450697,0.024335968
746,0.025345798,0.023920242,0.027168009,0.026659164,0.019714205,0.025062638,0.024352176
745,0.02552028,0.023634565,0.027705511,0.026832219,0.020364589,0.025603744,0.024449629
744,0.026214784,0.023934164,0.027920499,0.027294211,0.020965363,0.026457977,0.024539488
743,0.02617915,0.024114975,0.028081493,0.027072121,0.021022796,0.027008621,0.024932888
742,0.026421387,0.023685737,0.028161473,0.02731144,0.021136816,0.027759703,0.024835108
741,0.026366124,0.023251843,0.028221358,0.027393953,0.021173506,0.027820912,0.024559347
740,0.026092523,0.023665836,0.027894469,0.027091325,0.021379737,0.028093671,0.024344236
739,0.025832611,0.023841722,0.02780532,0.026681652,0.021203812,0.028298049,0.024105398
738,0.025449485,0.023519942,0.027209429,0.025888521,0.021056026,0.027846828,0.024086025
737,0.0251972,0.023589576,0.026871404,0.02547655,0.020797318,0.027667795,0.023691477
736,0.025022217,0.024092482,0.026581111,0.025196733,0.020704564,0.027752032,0.023085586
735,0.024756313,0.024124142,0.026617879,0.024299885,0.020661017,0.027597808,0.022902201
734,0.024593205,0.024165519,0.025965763,0.023362188,0.020991009,0.027624842,0.02251279
733,0.024432458,0.023947211,0.025599543,0.022553196,0.02076036,0.027214115,0.021975383
732,0.024264244,0.023817876,0.025631203,0.022056997,0.020539198,0.02706573,0.021561691
731,0.023975879,0.023862287,0.025383038,0.021669512,0.020454449,0.026864657,0.021112683
730,0.023626775,0.023664906,0.025189354,0.021431052,0.020422052,0.026936316,0.020773068
729,0.023674365,0.023714059,0.025033954,0.021535413,0.020477188,0.026649337,0.02083178
728,0.023513111,0.023563366,0.024786815,0.021506199,0.02060032,0.026460453,0.020656864
727,0.023161348,0.023573014,0.024831791,0.021678519,0.020538682,0.026776325,0.020687052
726,0.0229159,0.023602504,0.024817456,0.021843013,0.020672854,0.026677633,0.020709641
725,0.02277626,0.023660396,0.024902348,0.022141569,0.02063778,0.026505273,0.020963108
724,0.022425147,0.02347002,0.024867479,0.022271087,0.020542699,0.026244976,0.020943956
723,0.02215854,0.023580529,0.024633723,0.022318256,0.02052248,0.026368572,0.020953437
722,0.021892722,0.02374848,0.024657695,0.02244799,0.020703831,0.026324261,0.021231511
721,0.021272178,0.024160265,0.024693041,0.022676836,0.020590169,0.026278553,0.021223981
720,0.021114015,0.02397142,0.0247499,0.022802613,0.020791832,0.026242254,0.02143611
719,0.020718085,0.024033711,0.02490169,0.02312782,0.020865022,0.026457454,0.021596159
718,0.020512222,0.024059676,0.024929598,0.023368689,0.021342703,0.026400233,0.021864954
717,0.020039221,0.023818697,0.024928584,0.02311922,0.021042033,0.026492726,0.021833186
716,0.01962653,0.023807431,0.024931764,0.022998538,0.020612345,0.026152398,0.021830301
715,0.019566221,0.023822197,0.024804218,0.022990622,0.020611422,0.026365134,0.021704588
714,0.019627694,0.023511744,0.024496953,0.022826485,0.02071203,0.025867311,0.021727583
713,0.019704724,0.023698093,0.024483752,0.022998838,0.020690636,0.026137717,0.021628535
712,0.019916085,0.023694676,0.024806219,0.023076059,0.020820156,0.026192429,0.021574967
711,0.020365403,0.023923168,0.024603368,0.023030964,0.020900766,0.02613923,0.021652669
710,0.020688111,0.02386453,0.024476248,0.022820073,0.020709016,0.026053491,0.021601437
